ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,WinesAmount,FruitsAmount,MeatAmount,FishAmount,SweetAmount,GoldAmount,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,LastCampaign,Complain,Country,Join_year,Join_month,Join_weekday,Age,Children,Total_Amount,Total_purchase_Count,Total_accepted_campaign,Average_PurchaseAmount
9432,1977,Graduation,Together,51381,1,0,2013-02-06,23,9,14,18,8,1,12,4,3,1,3,6,0,0,0,0,0,0,0,Saudi Arabia,2013,2,2,36,1,62,11,0,5.636363636363637
1503,1976,PhD,Together,162397,1,1,2013-03-06,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,Spain,2013,3,2,37,2,107,1,0,107.0
1501,1982,PhD,Married,160803,0,0,2012-04-08,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,0,USA,2012,4,6,30,0,1717,44,0,39.02272727272727
5336,1971,Master,Together,157733,1,0,2013-04-06,37,39,1,9,2,14,8,0,1,0,1,1,0,0,0,0,0,0,0,Spain,2013,4,5,42,1,73,2,0,36.5
8475,1973,PhD,Married,157243,0,1,2014-01-03,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,India,2014,1,4,41,1,1608,37,0,43.45945945945946
4931,1977,Graduation,Together,157146,0,0,2013-04-29,13,1,14,1725,2,1,1,0,0,28,0,1,0,0,0,0,0,0,0,Saudi Arabia,2013,4,0,36,0,1744,28,0,62.285714285714285
4619,1945,PhD,Single,113734,0,0,2014-05-28,9,6,2,3,1,262,3,0,27,0,0,1,0,0,0,0,0,0,0,Spain,2014,5,2,69,0,277,27,0,10.25925925925926
4611,1970,Graduation,Together,105471,0,0,2013-01-21,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,1,0,Spain,2013,1,0,43,0,1724,30,3,57.46666666666667
10089,1974,Graduation,Divorced,102692,0,0,2013-05-04,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,1,0,Saudi Arabia,2013,5,5,39,0,1112,29,5,38.3448275862069
2798,1977,PhD,Together,102160,0,0,2012-02-11,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,1,0,Saudi Arabia,2012,2,5,35,0,1240,26,4,47.69230769230769
7215,1983,Graduation,Single,101970,0,0,2013-12-03,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,1,0,Canada,2013,12,1,30,0,1135,27,4,42.03703703703704
4248,1960,Master,Single,98777,0,0,2014-02-17,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,Spain,2014,2,0,54,0,2008,19,1,105.6842105263158
7451,1960,Master,Single,98777,0,0,2014-02-17,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,Spain,2014,2,0,54,0,2008,19,1,105.6842105263158
500,1977,Graduation,Together,96876,0,0,2013-06-08,79,908,43,735,40,194,21,1,7,7,9,2,0,1,1,1,0,1,0,Spain,2013,6,5,36,0,1941,24,4,80.875
2109,1990,Graduation,Single,96843,0,0,2013-04-23,60,448,71,951,40,17,17,1,6,11,10,2,0,0,1,0,0,1,0,Spain,2013,4,1,23,0,1544,28,2,55.142857142857146
6815,1980,2n Cycle,Married,96547,0,0,2014-05-23,4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,1,0,Spain,2014,5,4,34,0,809,21,4,38.523809523809526
10619,1994,Graduation,Single,95529,0,0,2012-03-12,29,770,29,890,250,27,24,1,7,3,7,3,0,0,1,0,0,1,0,Saudi Arabia,2012,3,0,18,0,1990,18,2,110.55555555555556
7962,1987,PhD,Single,95169,0,0,2013-09-10,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,Spain,2013,9,1,26,0,1901,12,3,158.41666666666666
4070,1969,PhD,Married,94871,0,2,2012-01-09,99,169,24,553,188,14,144,1,8,5,4,7,0,1,1,0,0,1,0,Canada,2012,1,0,43,2,1092,18,3,60.666666666666664
3334,1951,Graduation,Married,94642,0,0,2014-12-02,35,879,143,797,106,143,143,0,5,7,9,1,0,0,1,1,0,0,0,Spain,2014,12,1,63,0,2211,21,2,105.28571428571429
10164,1958,Graduation,Single,94472,0,1,2014-03-04,75,1017,33,417,108,100,16,1,5,5,5,5,0,1,1,0,0,0,0,Spain,2014,3,1,56,1,1691,16,2,105.6875
5386,1953,Graduation,Together,94384,0,0,2013-04-03,62,1111,24,790,160,45,172,0,5,8,5,2,0,1,1,1,0,1,0,Saudi Arabia,2013,4,2,60,0,2302,18,4,127.88888888888889
6024,1953,Graduation,Together,94384,0,0,2013-04-03,62,1111,24,790,160,45,172,0,5,8,5,2,0,1,1,1,0,1,0,Spain,2013,4,2,60,0,2302,18,4,127.88888888888889
10133,1970,Graduation,Single,93790,0,0,2014-12-02,16,1302,68,731,89,114,45,0,6,7,12,2,0,1,1,1,0,1,0,Canada,2014,12,1,44,0,2349,25,4,93.96
9499,1954,Graduation,Married,93404,1,2,2013-07-05,97,1279,15,287,20,14,15,3,3,4,7,5,0,1,1,0,0,0,0,Canada,2013,7,4,59,3,1630,17,2,95.88235294117646
6932,1941,PhD,Married,93027,0,0,2013-04-13,77,1285,42,716,55,14,21,0,7,10,5,2,0,0,1,0,0,0,0,Spain,2013,4,5,72,0,2133,22,1,96.95454545454545
10489,1973,Graduation,Married,92955,0,0,2013-08-19,35,693,21,925,31,24,84,1,6,7,9,2,0,0,1,1,0,1,0,Saudi Arabia,2013,8,0,40,0,1778,23,3,77.30434782608695
1340,1986,Graduation,Married,92910,0,0,2014-04-24,42,551,137,792,179,103,33,1,6,7,13,1,0,1,1,1,0,0,0,Spain,2014,4,3,28,0,1795,27,3,66.48148148148148
821,1992,Master,Single,92859,0,0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,Canada,2012,10,4,20,0,2077,22,0,94.4090909090909
5832,1960,2n Cycle,Together,92556,0,0,2014-04-20,32,493,183,352,184,23,28,0,3,5,13,0,0,0,0,0,0,0,0,Spain,2014,4,6,54,0,1263,21,0,60.142857142857146
9349,1985,Graduation,Married,92533,0,0,2013-12-19,84,693,21,118,110,147,42,1,6,5,11,2,0,0,1,1,0,0,0,Germany,2013,12,3,28,0,1131,23,2,49.17391304347826
1172,1983,PhD,Married,92491,0,0,2013-01-05,71,979,44,935,29,25,22,1,7,5,12,3,0,1,1,1,0,1,0,Spain,2013,1,5,30,0,2034,25,4,81.36
10909,1948,Graduation,Married,92344,0,0,2014-01-15,9,992,24,694,51,19,119,0,5,10,5,1,1,0,1,0,0,0,0,Australia,2014,1,2,66,0,1899,20,2,94.95
7627,1975,Master,Married,92163,0,0,2012-12-12,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,1,0,Spain,2012,12,2,37,0,2086,21,3,99.33333333333333
6303,1986,PhD,Together,91820,0,0,2013-11-23,72,410,73,747,76,161,30,0,5,5,12,1,0,0,0,0,0,0,0,Canada,2013,11,5,27,0,1497,22,0,68.04545454545455
6248,1947,Master,Single,91712,0,0,2013-10-17,47,1276,24,746,94,29,48,0,9,7,11,3,0,0,1,0,0,1,0,Spain,2013,10,3,66,0,2217,27,2,82.11111111111111
9220,1971,Graduation,Single,91700,0,0,2013-01-17,58,576,172,961,125,115,19,1,8,6,5,3,0,0,0,0,0,1,0,Spain,2013,1,3,42,0,1968,20,1,98.4
3138,1956,Graduation,Single,91249,0,0,2012-10-20,84,1324,27,119,71,108,27,0,7,9,6,4,0,1,1,1,1,1,0,Spain,2012,10,5,56,0,1676,22,5,76.18181818181819
3520,1990,Master,Single,91172,0,0,2013-03-27,94,162,28,818,19,28,56,0,4,3,7,3,1,0,1,1,1,1,0,Canada,2013,3,2,23,0,1111,14,5,79.35714285714286
4216,1981,Graduation,Single,91065,0,0,2013-02-22,33,822,114,108,179,137,114,1,7,9,9,3,0,0,1,1,0,1,0,Spain,2013,2,4,32,0,1474,26,3,56.69230769230769
5558,1954,PhD,Single,90933,0,0,2014-03-31,90,1020,31,430,62,63,79,1,4,6,4,1,0,0,1,0,0,0,0,Spain,2014,3,0,60,0,1685,15,1,112.33333333333333
5147,1948,Graduation,Single,90842,0,0,2013-07-29,57,774,70,118,182,187,93,1,4,9,13,1,0,0,0,0,0,0,0,Spain,2013,7,0,65,0,1424,27,0,52.74074074074074
1592,1970,Graduation,Married,90765,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,Canada,2014,1,4,44,0,1724,15,2,114.93333333333334
3979,1983,PhD,Divorced,90687,0,0,2013-05-22,98,982,17,672,23,34,51,1,6,2,8,2,0,0,1,0,0,1,0,Spain,2013,5,2,30,0,1779,17,2,104.6470588235294
5350,1991,Master,Single,90638,0,0,2014-02-13,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,1,0,Saudi Arabia,2014,2,3,23,0,2525,18,2,140.27777777777777
5735,1991,Master,Single,90638,0,0,2014-02-13,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,0,0,Spain,2014,2,3,23,0,2525,18,1,140.27777777777777
1619,1956,Graduation,Married,90369,0,0,2014-04-28,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,Spain,2014,4,0,58,0,1588,17,1,93.41176470588235
8318,1979,Graduation,Together,90300,0,0,2014-03-01,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,0,Spain,2014,3,5,35,0,1738,19,1,91.47368421052632
569,1991,Graduation,Single,90273,0,0,2013-12-14,32,704,129,853,120,74,111,1,5,6,7,2,0,1,1,1,0,1,0,Spain,2013,12,5,22,0,1991,19,4,104.78947368421052
8029,1988,Master,Single,90247,0,0,2014-04-29,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,1,0,USA,2014,4,1,26,0,1621,15,4,108.06666666666666
5453,1956,Master,Married,90226,0,0,2012-09-26,26,1083,108,649,253,151,108,1,4,7,12,2,0,0,0,1,0,0,0,Saudi Arabia,2012,9,2,56,0,2352,24,1,98.0
10394,1984,Graduation,Married,90000,0,0,2013-12-23,91,675,144,133,94,192,241,1,4,8,5,1,1,0,1,1,0,0,0,Canada,2013,12,0,29,0,1479,18,3,82.16666666666667
11101,1991,Graduation,Together,89891,0,0,2013-04-15,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,0,Australia,2013,4,0,22,0,836,26,1,32.15384615384615
10430,1973,Graduation,Divorced,89694,1,1,2013-09-10,22,1126,28,211,37,28,42,3,4,3,4,5,0,1,1,1,0,0,0,Australia,2013,9,1,40,2,1472,14,3,105.14285714285714
4418,1983,Master,Single,89616,0,0,2013-02-25,36,671,47,655,145,111,15,1,7,5,12,2,0,0,0,0,0,1,0,Canada,2013,2,0,30,0,1644,25,1,65.76
4947,1966,2n Cycle,Single,89572,0,0,2012-09-15,44,606,24,974,197,194,64,1,7,7,9,4,0,1,0,1,0,1,0,Spain,2012,9,5,46,0,2059,24,3,85.79166666666667
6036,1959,Master,Together,89120,0,0,2014-03-17,78,1168,92,408,72,129,55,1,5,6,7,1,0,0,1,0,0,0,0,Spain,2014,3,0,55,0,1924,19,1,101.26315789473684
10991,1960,Master,Married,89058,0,0,2012-07-12,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,Canada,2012,7,3,52,0,850,14,0,60.714285714285715
3010,1989,Master,Together,88420,0,0,2014-02-05,87,957,153,612,99,95,153,1,4,7,8,1,1,0,1,1,0,0,0,Spain,2014,2,2,25,0,2069,20,3,103.45
6421,1961,Graduation,Together,88347,0,0,2013-03-07,32,1050,178,555,77,138,118,1,4,7,9,1,0,0,0,1,0,0,0,Spain,2013,3,3,52,0,2116,21,1,100.76190476190476
10469,1981,Graduation,Together,88325,0,0,2014-05-02,42,519,71,860,93,27,53,1,6,2,9,2,0,0,0,0,0,0,0,India,2014,5,4,33,0,1623,18,0,90.16666666666667
9369,1979,2n Cycle,Single,88194,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,1,0,Germany,2014,3,2,35,1,1274,32,3,39.8125
2535,1978,Master,Married,88097,1,0,2012-08-18,24,163,14,480,19,126,75,1,6,5,8,9,0,1,1,1,0,1,0,Spain,2012,8,5,34,1,877,20,4,43.85
3174,1959,Graduation,Together,87771,0,1,2013-05-22,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,1,0,Spain,2013,5,2,54,1,1957,20,5,97.85
5536,1959,Graduation,Together,87771,0,1,2013-05-22,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,1,0,Canada,2013,5,2,54,1,1957,20,5,97.85
1763,1988,Graduation,Together,87679,0,0,2013-07-27,62,1259,172,815,97,148,33,1,7,11,10,4,1,0,1,1,0,1,0,Canada,2013,7,5,25,0,2524,29,4,87.03448275862068
3619,1960,2n Cycle,Divorced,87305,0,0,2012-09-23,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,1,0,Australia,2012,9,6,52,0,1152,17,2,67.76470588235294
8908,1959,Graduation,Married,87195,0,0,2014-08-05,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,1,0,Canada,2014,8,1,55,0,1097,20,1,54.85
4278,1983,PhD,Single,87188,0,0,2013-03-06,73,910,111,724,49,74,55,1,10,2,6,3,0,0,0,0,0,1,0,India,2013,3,2,30,0,1923,19,1,101.21052631578948
4207,1981,PhD,Married,87171,0,0,2013-01-05,27,1001,44,107,58,44,44,1,6,7,11,2,1,0,1,0,0,0,0,Spain,2013,1,5,32,0,1298,25,2,51.92
