ID,Year_Birth,Education,Marital_Status,  Income  ,Kidhome,Teenhome,Dt_Customer,Recency, MntWines , MntFruits , MntMeatProducts , MntFishProducts , MntSweetProducts , MntGoldProds ,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country
9432,1977,Graduation,Together," $666,666.00 ",1,0,02/06/2013,23, $9.00 , $14.00 , $18.00 , $8.00 , $1.00 , $12.00 ,4,3,1,3,6,0,0,0,0,0,0,0,Saudi Arabia
1503,1976,PhD,Together," $162,397.00 ",1,1,03/06/2013,31, $85.00 , $1.00 , $16.00 , $2.00 , $1.00 , $2.00 ,0,0,0,1,1,0,0,0,0,0,0,0,Spain
1501,1982,PhD,Married," $160,803.00 ",0,0,04/08/2012,21, $55.00 , $16.00 ," $1,622.00 ", $17.00 , $3.00 , $4.00 ,15,0,28,1,0,0,0,0,0,0,0,0,USA
5336,1971,Master,Together," $157,733.00 ",1,0,04/06/2013,37, $39.00 , $1.00 , $9.00 , $2.00 , $-   , $8.00 ,0,1,0,1,1,0,0,0,0,0,0,0,Spain
8475,1973,PhD,Married," $157,243.00 ",0,1,01/03/2014,98, $20.00 , $2.00 ," $1,582.00 ", $1.00 , $2.00 , $1.00 ,15,0,22,0,0,0,0,0,0,0,0,0,India
4931,1977,Graduation,Together," $157,146.00 ",0,0,29/04/2013,13, $1.00 , $-   ," $1,725.00 ", $2.00 , $1.00 , $1.00 ,0,0,28,0,1,0,0,0,0,0,0,0,Saudi Arabia
11181,1949,PhD,Married," $156,924.00 ",0,0,29/08/2013,85, $2.00 , $1.00 , $2.00 , $1.00 , $1.00 , $1.00 ,0,0,0,0,0,0,0,0,0,0,0,0,Canada
5555,1975,Graduation,Divorced," $153,924.00 ",0,0,07/02/2014,81, $1.00 , $1.00 , $1.00 , $1.00 , $1.00 , $1.00 ,0,0,0,0,0,0,0,0,0,0,0,0,Spain
4619,1945,PhD,Single," $113,734.00 ",0,0,28/05/2014,9, $6.00 , $2.00 , $3.00 , $1.00 , $262.00 , $3.00 ,0,27,0,0,1,0,0,0,0,0,0,0,Spain
4611,1970,Graduation,Together," $105,471.00 ",0,0,21/01/2013,36," $1,009.00 ", $181.00 , $104.00 , $202.00 , $21.00 , $207.00 ,0,9,8,13,3,0,0,1,1,0,1,0,Spain
10089,1974,Graduation,Divorced," $102,692.00 ",0,0,05/04/2013,5, $168.00 , $148.00 , $444.00 , $32.00 , $172.00 , $148.00 ,1,6,9,13,2,0,1,1,1,1,1,0,Saudi Arabia
2798,1977,PhD,Together," $102,160.00 ",0,0,02/11/2012,54, $763.00 , $29.00 , $138.00 , $76.00 , $176.00 , $58.00 ,0,7,9,10,4,0,1,1,1,0,1,0,Saudi Arabia
7215,1983,Graduation,Single," $101,970.00 ",0,0,12/03/2013,69, $722.00 , $27.00 , $102.00 , $44.00 , $72.00 , $168.00 ,0,6,8,13,2,0,1,1,1,0,1,0,Canada
4248,1960,Master,Single," $98,777.00 ",0,0,17/02/2014,23," $1,000.00 ", $19.00 , $711.00 , $125.00 , $115.00 , $38.00 ,0,4,6,9,1,0,1,0,0,0,0,0,Spain
7451,1960,Master,Single," $98,777.00 ",0,0,17/02/2014,23," $1,000.00 ", $19.00 , $711.00 , $125.00 , $115.00 , $38.00 ,0,4,6,9,1,0,1,0,0,0,0,0,Spain
500,1977,Graduation,Together," $96,876.00 ",0,0,06/08/2013,79, $908.00 , $43.00 , $735.00 , $40.00 , $194.00 , $21.00 ,1,7,7,9,2,0,1,1,1,0,1,0,Spain
2109,1990,Graduation,Single," $96,843.00 ",0,0,23/04/2013,60, $448.00 , $71.00 , $951.00 , $40.00 , $17.00 , $17.00 ,1,6,11,10,2,0,0,1,0,0,1,0,Spain
6815,1980,2n Cycle,Married," $96,547.00 ",0,0,23/05/2014,4, $448.00 , $21.00 , $125.00 , $52.00 , $101.00 , $62.00 ,0,7,6,8,2,1,0,1,1,0,1,0,Spain
10619,1994,Graduation,Single," $95,529.00 ",0,0,03/12/2012,29, $770.00 , $29.00 , $890.00 , $250.00 , $27.00 , $24.00 ,1,7,3,7,3,0,0,1,0,0,1,0,Saudi Arabia
7962,1987,PhD,Single," $95,169.00 ",0,0,09/10/2013,1," $1,285.00 ", $21.00 , $449.00 , $106.00 , $20.00 , $20.00 ,1,4,3,4,1,0,0,1,1,0,1,0,Spain
4070,1969,PhD,Married," $94,871.00 ",0,2,01/09/2012,99, $169.00 , $24.00 , $553.00 , $188.00 , $-   , $144.00 ,1,8,5,4,7,0,1,1,0,0,1,0,Canada
